一	〔一・Fiƒ〕
䝃	〔一口䒑灬・FLUU・CJK-A〕
䝄	〔一口䒑又・FLUB・CJK-A〕
䝅	〔豕土・DHvs・CJK-A〕
䝆	〔{⼓同月}{两撇同彡}豕・WTDs・CJK-A〕
䝇	〔八儿豕・TQDs・CJK-A〕
䝈	〔豕{𠂆同斤}一{顺折同乙}・DEFV・CJK-A〕
䝉	〔〢丷冖豕・NUYD・CJK-A〕
䝊	〔豕一彐龰・DFXN・CJK-A〕
䝋	〔豕宀示・DOHs・CJK-A〕
䝌	〔豕又又又・DBBB・CJK-A〕
䝍	〔豕冖車・DYGc・CJK-A〕
䝎	〔豕山而・DJSr・CJK-A〕
䝏	〔豕口十女・DLDC・CJK-A〕
䝐	〔豕阝{右上}月・DCSW・CJK-A〕
䝑	〔豕立甲二・DIKS・CJK-A〕
䝒	〔豕耳又二・DABS・CJK-A〕
䝓	〔豕巛囗{鼠下}・DVNB・CJK-A〕
䝔	〔豕艹口隹・DSLW・CJK-A〕
䝕	〔豕耳耳耳・DAAA・CJK-A〕
䝖	〔豸爪・YEki・CJK-A〕
䝗	〔豸木・YFvi・CJK-A〕
䝘	〔豸殳・YQhi・CJK-A〕
䝙	〔豸匚乂・YGWa・CJK-A〕
䝚	〔豸尸匕・YBRi・CJK-A〕
䝛	〔豸皮・YVpi・CJK-A〕
䝜	〔豸厶八夂・YVTE・CJK-A〕
䝝	〔豸大丁口・YGAL・CJK-A〕
䝞	〔豸虎・YMhi・CJK-A〕
䝟	〔豸丰刀大・YDBG・CJK-A〕
䝠	〔豸厂白小・YSEM・CJK-A〕
䝡	〔豸卄一入・YSFR・CJK-A〕
䝢	〔豸日罒又・YJMB・CJK-A〕
䝣	〔豸氵匚木・YIGF・CJK-A〕
䝤	〔豸大丷小・YGUM・CJK-A〕
䝥	〔豸自二十・YTSD・CJK-A〕
䝦	〔豸丿皿二・YQMS・CJK-A〕
䝧	〔貝{⼓同月}二・MWSe・CJK-A〕
䝨	〔〢又貝・NBMb・CJK-A〕
䝩	〔貝人彡・MTTi・CJK-A〕
䝪	〔貝{顺折同乙}龰・MVNh・CJK-A〕
䝫	〔貝{丿一同竹}{乍下同卜}・MQMo・CJK-A〕
䝬	〔貝丶王・MOGv・CJK-A〕
䝭	〔貝{⼓同月}口・MWLv・CJK-A〕
䝮	〔貝亠幺・MOVo・CJK-A〕
䝯	〔貝{丿一同竹}也・MQCy・CJK-A〕
䝰	〔貝土寸・MHAc・CJK-A〕
䝱	〔力力力貝・XXXM・CJK-A〕
䝲	〔貝尸㇏{两点同二}・MBOS・CJK-A〕
䝳	〔卜夕又貝・MRBM・CJK-A〕
䝴	〔十口冖貝・DLYM・CJK-A〕
䝵	〔貝甫・MFub・CJK-A〕
䝶	〔貝亠口小・MOLM・CJK-A〕
䝷	〔矢口貝・QLMb・CJK-A〕
䝸	〔貝艹十又・MSDB・CJK-A〕
䝹	〔貝宀夕{顺折同乙}・MORV・CJK-A〕
䝺	〔文文貝・PPMb・CJK-A〕
䝻	〔貝尸古・MBDg・CJK-A〕
䝽	〔貝厂土土・MSHH・CJK-A〕
䝾	〔一弋止貝・FGNM・CJK-A〕
䝿	〔臼人貝・RTMb・CJK-A〕
䞀	〔貝亻{コ同又}矢・MEBQ・CJK-A〕
䞁	〔貝匚日女・MGJC・CJK-A〕
䞂	〔貝而大・MSGd・CJK-A〕
䞃	〔貝至夂・MHEh・CJK-A〕
䞄	〔方{丿一同竹}也貝・OQCM・CJK-A〕
䞅	〔貝辰口・MSLv・CJK-A〕
䞆	〔貝小貝・MMMb・CJK-A〕
䞇	〔土八土貝・HTHM・CJK-A〕
䞈	〔貝爪{爲下}・MEWw・CJK-A〕
䞉	〔貝丷夫貝・MUGM・CJK-A〕
䞊	〔貝{虎头同虎}八目・MMTM・CJK-A〕
䞋	〔貝立朩見・MIFM・CJK-A〕
䞌	〔贝舌・KReb・CJK-A〕
䞎	〔贝日日・KJJv・CJK-A〕
䞏	〔贝田心・KJYn・CJK-A〕
䞐	〔贝𡗗日・KGJv・CJK-A〕
䞑	〔土{介下同八}八工・HTTF・CJK-A〕
䞒	〔土{介下同八}八口・HTTL・CJK-A〕
䞓	〔土{介下同八}八工・HTTF・CJK-A〕
䞔	〔土{介下同八}八毛・HTTR・CJK-A〕
䞕	〔土{介下同八}八而・HTTS・CJK-A〕
䞖	〔走弋・DGyk・CJK-A〕
䞗	〔走{于下}丿・DAQp・CJK-A〕
䞘	〔走{丿一同竹}乙・DQVi・CJK-A〕
䞙	〔走一巾・DFMv・CJK-A〕
䞚	〔走十又・DDBu・CJK-A〕
䞛	〔走丅{逆折同乚}{顺折同乙}・DAXV・CJK-A〕
䞜	〔走不・DDuk・CJK-A〕
䞝	〔走王丶・DGOd・CJK-A〕
䞞	〔走弓{介下同八}・DVTb・CJK-A〕
䞟	〔走白・DEbk・CJK-A〕
䞠	〔走石・DDvk・CJK-A〕
䞡	〔走日一・DJFi・CJK-A〕
䞢	〔走{丿一同竹}{乍下同卜}・DQMo・CJK-A〕
䞣	〔走斤丶・DEOd・CJK-A〕
䞤	〔走{⼓同月}口・DWLv・CJK-A〕
䞥	〔走{右上}月・DSWv・CJK-A〕
䞦	〔走夂口・DELv・CJK-A〕
䞧	〔走{𠂆同斤}一口・DEFL・CJK-A〕
䞨	〔走土土・DHHv・CJK-A〕
䞩	〔走合・DYek・CJK-A〕
䞪	〔走匚斤・DGEj・CJK-A〕
䞫	〔走彐丿口・DXQL・CJK-A〕
䞬	〔走禾乃・DRVa・CJK-A〕
䞭	〔走厶八夂・DVTE・CJK-A〕
䞮	〔走人一朩・DTFF・CJK-A〕
䞯	〔走爪子・DEVk・CJK-A〕
䞰	〔走土{介下同八}八・DHTT・CJK-A〕
䞱	〔走八人口・DTTL・CJK-A〕
䞲	〔走丿扌戈・DQAG・CJK-A〕
䞳	〔走立口・DILv・CJK-A〕
䞴	〔走{⺆同月}土口・DWHL・CJK-A〕
䞵	〔走又又又・DBBB・CJK-A〕
䞶	〔走日{⼓同月}{两撇同彡}・DJWT・CJK-A〕
䞷	〔走尸{屮同凵}凵・DBXX・CJK-A〕
䞸	〔走示口・DHLv・CJK-A〕
䞹	〔走白王・DEGv・CJK-A〕
䞺	〔走{𠂆同斤}十目・DEDM・CJK-A〕
䞻	〔走{マ同又}用力・DBTX・CJK-A〕
䞼	〔走{互中同母}豕・DBDs・CJK-A〕
䞽	〔走十冖糸・DDYB・CJK-A〕
䞾	〔走{𠂆同斤}虎・DEMh・CJK-A〕
䞿	〔宀{冓上同艹}八走・OSTD・CJK-A〕
䟀	〔走羊工・DUFo・CJK-A〕
䟁	〔走巛日木・DVJF・CJK-A〕
䟂	〔走日罒又・DJMB・CJK-A〕
䟃	〔走厶厶彡・DVVT・CJK-A〕
䟄	〔走龶貝・DHMb・CJK-A〕
䟅	〔車斤走・GEDk・CJK-A〕
䟆	〔走日龷十・DJSD・CJK-A〕
䟇	〔走幺幺人・DVVT・CJK-A〕
䟈	〔走十戈王・DDGG・CJK-A〕
䟉	〔走罒{⼓同月}虫・DMWK・CJK-A〕
䟊	〔走{虎头同虎}豕・DMDs・CJK-A〕
䟋	〔走冖厂言・DYSU・CJK-A〕
䟌	〔走十戈隹・DDGW・CJK-A〕
䟍	〔走自穴方・DTPO・CJK-A〕
䟎	〔走夫夫貝・DGGM・CJK-A〕
䟏	〔走白幺木・DEVF・CJK-A〕
䟐	〔走厂禾止・DSRN・CJK-A〕
䟑	〔走合口冊・DYLN・CJK-A〕
䟒	〔走艹口隹・DSLW・CJK-A〕
䟓	〔足丁・NAn・CJK-A〕
䟔	〔足卜・NMo・CJK-A〕
䟕	〔足又丶・NBOd・CJK-A〕
䟖	〔足山・NJs・CJK-A〕
䟗	〔足{卬左同卯}七・NTAi・CJK-A〕
䟘	〔足亠几・NOQj・CJK-A〕
䟙	〔足七刀・NABd・CJK-A〕
䟚	〔足一丌・NFAj・CJK-A〕
䟛	〔足一巾・NFMv・CJK-A〕
䟜	〔足冂人・NKTe・CJK-A〕
䟝	〔足殳・NQh・CJK-A〕
䟞	〔足小丿・NMQp・CJK-A〕
䟟	〔斤丶足・EONv・CJK-A〕
䟠	〔足戈{逆折同乚}・NGXi・CJK-A〕
䟡	〔足{卬左同卯}七丶・NTAO・CJK-A〕
䟢	〔足冖小・NYMa・CJK-A〕
䟣	〔足木丶・NFOd・CJK-A〕
䟤	〔足心丿・NYQp・CJK-A〕
䟥	〔足矛・NCo・CJK-A〕
䟦	〔足千又・NWBu・CJK-A〕
䟧	〔足田・NJt・CJK-A〕
䟨	〔足巳七・NCAi・CJK-A〕
䟩	〔足土厶・NHVv・CJK-A〕
䟪	〔足丿之・NQPc・CJK-A〕
䟫	〔{尚头同尚}足・NNvs・CJK-A〕
䟬	〔足亻工・NEFo・CJK-A〕
䟭	〔足{丿一同竹}{乍下同卜}・NQMo・CJK-A〕
䟮	〔足亻犬・NESq・CJK-A〕
䟯	〔足舌・NRe・CJK-A〕
䟰	〔足彳亍・NRAh・CJK-A〕
䟱	〔足木冂・NFKg・CJK-A〕
䟲	〔足亠厶儿・NOVQ・CJK-A〕
䟳	〔足羽・NXu・CJK-A〕
䟴	〔足辰・NSn・CJK-A〕
䟵	〔足一水丶・NFKO・CJK-A〕
䟶	〔足人人土・NTTH・CJK-A〕
䟷	〔足扌斤・NAEj・CJK-A〕
䟸	〔足月卄・NWSo・CJK-A〕
䟹	〔足爪寸・NEAc・CJK-A〕
䟺	〔足貝・NMb・CJK-A〕
䟻	〔足人一朩・NTFF・CJK-A〕
䟼	〔足一弋止・NFGN・CJK-A〕
䟽	〔足亠厶{荒下同儿}・NOVQ・CJK-A〕
䟾	〔足又又又・NBBB・CJK-A〕
䟿	〔足彐水・NXKh・CJK-A〕
䠀	〔足尚・NNs・CJK-A〕
䠁	〔足厶厶二・NVVS・CJK-A〕
䠂	〔木木足・FFNv・CJK-A〕
䠃	〔足一巾入・NFMR・CJK-A〕
䠄	〔足冂龷八・NKST・CJK-A〕
䠅	〔足囗禾・NNRh・CJK-A〕
䠆	〔足長・NHa・CJK-A〕
䠇	〔足尸{屮同凵}凵・NBXX・CJK-A〕
䠈	〔足彐水・NXKh・CJK-A〕
䠉	〔足宀尸{コ同又}・NOBB・CJK-A〕
䠊	〔足非・NLi・CJK-A〕
䠋	〔足{卑上同鬼}十・NWDh・CJK-A〕
䠌	〔足水月・NKWv・CJK-A〕
䠍	〔足尸二又・NBSB・CJK-A〕
䠎	〔足尸至・NBHk・CJK-A〕
䠏	〔足{登上同又}一大・NBFG・CJK-A〕
䠐	〔足目犬・NMSq・CJK-A〕
䠑	〔足大土土・NGHH・CJK-A〕
䠒	〔足古月・NDWv・CJK-A〕
䠓	〔足丷酉・NUGo・CJK-A〕
䠔	〔足䒑豕・NUDs・CJK-A〕
䠕	〔足止匕木・NNRF・CJK-A〕
䠖	〔足二欠口・NSEL・CJK-A〕
䠗	〔足自犬・NTSq・CJK-A〕
䠘	〔足{囟框同向}乂匕・NRWR・CJK-A〕
䠙	〔足亠丷方・NOUO・CJK-A〕
䠚	〔足穴瓜・NPQu・CJK-A〕
䠛	〔足爪缶・NEWo・CJK-A〕
䠜	〔足艹耳・NSAr・CJK-A〕
䠝	〔足口貝・NLMb・CJK-A〕
䠞	〔足戊上小・NDKM・CJK-A〕
䠟	〔土䒑十足・HUDN・CJK-A〕
䠠	〔卄一儿足・SFQN・CJK-A〕
䠡	〔足{虎头同虎}且・NMMi・CJK-A〕
䠢	〔艹罒冖足・SMYN・CJK-A〕
䠣	〔足巳巳八・NCCT・CJK-A〕
䠤	〔足口口十・NLLD・CJK-A〕
䠥	〔足丷巾夂・NUME・CJK-A〕
䠦	〔足矢口日・NQLJ・CJK-A〕
䠧	〔足尸耂日・NBHJ・CJK-A〕
䠨	〔足冖厂言・NYSU・CJK-A〕
䠩	〔足止戊小・NNDM・CJK-A〕
䠪	〔足幺幺{逆折同乚}・NVVX・CJK-A〕
䠫	〔足耳又二・NABS・CJK-A〕
䠬	〔足{登上同又}一阝・NBFC・CJK-A〕
䠭	〔足木口貝・NFLM・CJK-A〕
䠮	〔足丷夫馬・NUGD・CJK-A〕
䠯	〔足合口冊・NYLN・CJK-A〕
䠰	〔足艹口隹・NSLW・CJK-A〕
䠱	〔足尸水虫・NBKK・CJK-A〕
䠲	〔身人丶{マ同又}・WTOB・CJK-A〕
䠳	〔身{屮同凵}凵・WXXa・CJK-A〕
䠴	〔身立・WIie・CJK-A〕
䠵	〔身亻寸・WEAc・CJK-A〕
䠶	〔身矢・WQie・CJK-A〕
䠷	〔身儿二二・WQSS・CJK-A〕
䠸	〔身大一丂・WGFS・CJK-A〕
䠹	〔身亥・WOie・CJK-A〕
䠺	〔身门口・WPLv・CJK-A〕
䠻	〔身穴弓・WPVg・CJK-A〕
䠼	〔身人一刂・WTFM・CJK-A〕
䠽	〔身山一䒑・WJFU・CJK-A〕
䠾	〔身門人・WKTe・CJK-A〕
䠿	〔身口丄貝・WLKM・CJK-A〕
䡀	〔身亠囗一・WONF・CJK-A〕
䡁	〔身立月{龍右同卜}・WIWM・CJK-A〕
䡂	〔車{丩同凵}・GXac・CJK-A〕
䡃	〔車力・GXlc・CJK-A〕
䡄	〔車几・GQjc・CJK-A〕
䡅	〔車川・GQcc・CJK-A〕
䡆	〔車八厶・GTVv・CJK-A〕
䡇	〔車一兀・GFHw・CJK-A〕
䡈	〔車乂乂・GWWa・CJK-A〕
䡉	〔車亠几・GOQj・CJK-A〕
䡊	〔車{𠂆同斤}又・GEBu・CJK-A〕
䡋	〔車十又・GDBu・CJK-A〕
䡌	〔車{右上}厶・GSVv・CJK-A〕
䡍	〔車夫・GGuc・CJK-A〕
䡎	〔車户・GIhc・CJK-A〕
䡏	〔車弓厶・GVVv・CJK-A〕
䡐	〔車宀匕・GORi・CJK-A〕
䡑	〔車巳七・GCAi・CJK-A〕
䡒	〔車田・GJtc・CJK-A〕
䡓	〔彳車亍・RGAh・CJK-A〕
䡔	〔車夕夕・GRRk・CJK-A〕
䡕	〔車{顺折同乙}水一・GVKF・CJK-A〕
䡖	〔車一八土・GFTH・CJK-A〕
䡗	〔工凡車・FQGc・CJK-A〕
䡘	〔車{⼓同月}田・GWJt・CJK-A〕
䡙	〔車丶艮・GOVn・CJK-A〕
䡚	〔車白儿・GEQr・CJK-A〕
䡛	〔車車・GGcc・CJK-A〕
䡜	〔車土八土・GHTH・CJK-A〕
䡝	〔車宀夕{顺折同乙}・GORV・CJK-A〕
䡞	〔且八車・MTGc・CJK-A〕
䡟	〔車{卑上同鬼}十・GWDh・CJK-A〕
䡠	〔車卜貝・GMMb・CJK-A〕
䡡	〔車匕匕白・GRRE・CJK-A〕
䡢	〔車户冊・GINc・CJK-A〕
䡣	〔車冖車・GYGc・CJK-A〕
䡤	〔耂日車・HJGc・CJK-A〕
䡥	〔車穴人口・GPTL・CJK-A〕
䡦	〔車又又木・GBBF・CJK-A〕
䡧	〔車烏・GYwc・CJK-A〕
䡨	〔羊工車・UFGc・CJK-A〕
䡩	〔車十且八・GDMT・CJK-A〕
䡪	〔車户羽・GIXu・CJK-A〕
䡫	〔車夂丰辶・GEDP・CJK-A〕
䡬	〔車日罒又・GJMB・CJK-A〕
䡭	〔車羊丑・GUBc・CJK-A〕
䡮	〔車彳人龰・GRTN・CJK-A〕
䡯	〔車{囟框同向}夂心・GREY・CJK-A〕
䡰	〔士{眉上同尸}殳車・HBQG・CJK-A〕
䡱	〔車匚口口・GGLL・CJK-A〕
䡲	〔車口口十・GLLD・CJK-A〕
䡳	〔車其斤・GDEj・CJK-A〕
䡴	〔車立甲二・GIKS・CJK-A〕
䡵	〔車䒑豕辶・GUDP・CJK-A〕
䡶	〔車尸口辛・GBLO・CJK-A〕
䡷	〔車艹土皿・GSHM・CJK-A〕
䡸	〔車艹罒{逆折同乚}・GSMX・CJK-A〕
䡹	〔車十冖龰・GDYN・CJK-A〕
䡺	〔車丰丰心・GDDY・CJK-A〕
䡻	〔車自穴方・GTPO・CJK-A〕
䡼	〔車雨口口・GDLL・CJK-A〕
䡽	〔車⺧儿貝・GWQM・CJK-A〕
䡾	〔車{虎头同虎}一犬・GMFS・CJK-A〕
䡿	〔車雨口人・GDLT・CJK-A〕
䢀	〔车{丿一同竹}乙・HQVi・CJK-A〕
䢁	〔车月・HWvc・CJK-A〕
䢂	〔车立・HIic・CJK-A〕
䢃	〔尸口辛乂・BLOW・CJK-A〕
䢄	〔厶口木木・VLFF・CJK-A〕
䢅	〔臼辰・RSnj・CJK-A〕
䢆	〔冖几辰寸・YQSA・CJK-A〕
䢇	〔宀几辰寸・OQSA・CJK-A〕
䢈	〔辰人一日・STFJ・CJK-A〕
䢉	〔臼{囟框同向}乂辰・RRWS・CJK-A〕
䢊	〔子辶・VPok・CJK-A〕
䢋	〔丌辶・APoj・CJK-A〕
䢌	〔一巾辶・FMPo・CJK-A〕
䢍	〔方辶・OPog・CJK-A〕
䢎	〔一卄辶・FSPo・CJK-A〕
䢏	〔{两点同二}十辶・SDPo・CJK-A〕
䢐	〔且辶・MPoi・CJK-A〕
䢑	〔{卬左同卯}七丶辶・TAOP・CJK-A〕
䢒	〔亠八乂辶・OTWP・CJK-A〕
䢓	〔宀一{于下}辶・OFAP・CJK-A〕
䢔	〔合辶・YPoe・CJK-A〕
䢕	〔戊一辶・DFPo・CJK-A〕
䢖	〔彐キ辶・XAPo・CJK-A〕
䢗	〔冂龷辶・KSPo・CJK-A〕
䢘	〔宀寸辶・OAPo・CJK-A〕
䢙	〔貝辶・MPob・CJK-A〕
䢚	〔一日乂辶・FJWP・CJK-A〕
䢛	〔冂八口辶・KTLP・CJK-A〕
䢜	〔彐冖巾辶・XYMP・CJK-A〕
䢝	〔一{亞下}辶・FJPo・CJK-A〕
䢞	〔木木辶・FFPo・CJK-A〕
䢟	〔方夂辶・OEPo・CJK-A〕
䢠	〔火卄辶・USPo・CJK-A〕
䢡	〔世木辶・HFPo・CJK-A〕
䢢	〔人丶彐辶・TOXP・CJK-A〕
䢣	〔夕言辶・RUPo・CJK-A〕
䢤	〔禾木丶辶・RFOP・CJK-A〕
䢥	〔一止目辶・FNMP・CJK-A〕
䢦	〔亠幺二辶・OVSP・CJK-A〕
䢧	〔羽人彡辶・XTTP・CJK-A〕
䢨	〔彳人人辶・RTTP・CJK-A〕
䢩	〔一{五下同韋}口辶・FCLP・CJK-A〕
䢪	〔夭口冂辶・ELKP・CJK-A〕
䢫	〔阝{右上}工辶・CSFP・CJK-A〕
䢬	〔爪冖夕辶・EYRP・CJK-A〕
䢭	〔䒑土二辶・UHSP・CJK-A〕
䢮	〔雨田辶・DJPo・CJK-A〕
䢯	〔火火夕辶・UURP・CJK-A〕
䢰	〔羽隹辶・XWPo・CJK-A〕
䢱	〔士罒貝辶・HMMP・CJK-A〕
䢲	〔目目隹辶・MMWP・CJK-A〕
䢳	〔几阝・QCfj・CJK-A〕
䢴	〔千阝・WCfq・CJK-A〕
䢵	〔二厶阝・SVCf・CJK-A〕
䢶	〔木阝・FCf・CJK-A〕
䢷	〔{⺆同月}亠阝・WOCf・CJK-A〕
䢸	〔且阝・MCfi・CJK-A〕
䢹	〔匚{コ同又}阝・GBCf・CJK-A〕
䢺	〔{屮同凵}凵阝・XXCf・CJK-A〕
䢻	〔臣阝・SCfc・CJK-A〕
䢼	〔龷八阝・STCf・CJK-A〕
䢽	〔龷八口巴・STLC・CJK-A〕
䢾	〔⺧儿阝・WQCf・CJK-A〕
䢿	〔宀女阝・OCCf・CJK-A〕
䣀	〔冖厂{顺折同乙}阝・YSVC・CJK-A〕
䣁	〔羽阝・XCfu・CJK-A〕
䣂	〔丰八阝・DTCf・CJK-A〕
䣃	〔{丿一同竹}一止阝・QFNC・CJK-A〕
䣄	〔人一朩阝・TFFC・CJK-A〕
䣅	〔辰阝・SCfn・CJK-A〕
䣆	〔一巛工阝・FVFC・CJK-A〕
䣇	〔一水丶阝・FKOC・CJK-A〕
䣈	〔口巴口巴・LCLC・CJK-A〕
䣉	〔氵小丿巴・IMQC・CJK-A〕
䣊	〔尚阝・NCfs・CJK-A〕
䣋	〔爪木阝・EFCf・CJK-A〕
䣌	〔广{卬左同卯}七阝・UTAC・CJK-A〕
䣍	〔大电阝・GKCf・CJK-A〕
䣎	〔巛田阝・VJCf・CJK-A〕
䣏	〔亻龷八阝・ESTC・CJK-A〕
䣐	〔艹冂大阝・SKGC・CJK-A〕
䣑	〔厂甲二阝・SKSC・CJK-A〕
䣒	〔口丄贝阝・LKKC・CJK-A〕
䣓	〔一口冂阝・FLKC・CJK-A〕
䣔	〔小貝阝・MMCf・CJK-A〕
䣕	〔馬阝・DCfm・CJK-A〕
䣖	〔馬口巴・DLCb・CJK-A〕
䣗	〔白大十阝・EGDC・CJK-A〕
䣘	〔尚土阝・NHCf・CJK-A〕
䣙	〔山月月阝・JWWC・CJK-A〕
䣚	〔口十口阝・LDLC・CJK-A〕
䣛	〔木人水阝・FTKC・CJK-A〕
䣜	〔{虎头同虎}且阝・MMCf・CJK-A〕
䣝	〔尸耂日阝・BHJC・CJK-A〕
䣞	〔口口䒑阝・LLUC・CJK-A〕
䣟	〔匚儿匚阝・GQGC・CJK-A〕
䣠	〔夫夫日阝・GGJC・CJK-A〕
䣡	〔䒑土丿阝・UHQC・CJK-A〕
䣢	〔丰八龷阝・DTSC・CJK-A〕
䣣	〔尚黑阝・NNCf・CJK-A〕
䣤	〔目目隹阝・MMWC・CJK-A〕
䣥	〔酉匕・GRio・CJK-A〕
䣦	〔酉力・GXlo・CJK-A〕
䣧	〔酉弋・GGyo・CJK-A〕
䣨	〔酉丿七・GQAi・CJK-A〕
䣩	〔酉七凵・GAXa・CJK-A〕
䣪	〔酉一巾・GFMv・CJK-A〕
䣫	〔酉十又・GDBu・CJK-A〕
䣬	〔酉戈・GGgo・CJK-A〕
䣭	〔酉犬・GSqo・CJK-A〕
䣮	〔酉{右上}又丶・GSBO・CJK-A〕
䣯	〔酉且・GMio・CJK-A〕
䣰	〔酉匚{コ同又}・GGBu・CJK-A〕
䣱	〔酉{⼓同月}口・GWLv・CJK-A〕
䣲	〔酉厶卄・GVSo・CJK-A〕
䣳	〔酉{顺折同乙}一口・GVFL・CJK-A〕
䣴	〔酉乂凵儿・GWXQ・CJK-A〕
䣵	〔酉耳・GAro・CJK-A〕
䣶	〔酉舌・GReo・CJK-A〕
䣷	〔酉牛八・GWTb・CJK-A〕
䣸	〔亻壬酉・EEGo・CJK-A〕
䣹	〔酉亻戈・GEGg・CJK-A〕
䣺	〔酉口月・GLWv・CJK-A〕
䣻	〔酉人丶口・GTOL・CJK-A〕
䣼	〔酉亠口小・GOLM・CJK-A〕
䣽	〔矢口酉・QLGo・CJK-A〕
䣾	〔酉宀且・GOMi・CJK-A〕
䣿	〔酉一{于下}皿・GFAM・CJK-A〕
䤀	〔酉艹{右上}口・GSSL・CJK-A〕
䤁	〔酉其{逆折同乚}・GDXi・CJK-A〕
䤂	〔酉卄二木・GSSF・CJK-A〕
䤃	〔酉立日・GIJv・CJK-A〕
䤄	〔酉面・GGio・CJK-A〕
䤅	〔酉人一刂・GTFM・CJK-A〕
䤆	〔酉{登上同又}一大・GBFG・CJK-A〕
䤇	〔酉穴人又・GPTB・CJK-A〕
䤈	〔酉八丂皿・GTSM・CJK-A〕
䤉	〔酉心丿皿・GYQM・CJK-A〕
䤊	〔酉艹耳・GSAr・CJK-A〕
䤋	〔丷酉戈一・UGGF・CJK-A〕
䤌	〔酉人丶口・GTOL・CJK-A〕
䤍	〔酉卄一入・GSFR・CJK-A〕
䤎	〔酉矛冂口・GCKL・CJK-A〕
䤏	〔酉非手・GLTu・CJK-A〕
䤐	〔酉匚儿日・GGQJ・CJK-A〕
䤑	〔酉龷由八・GSKT・CJK-A〕
䤒	〔酉幺幺人・GVVT・CJK-A〕
䤓	〔酉艹冖豕・GSYD・CJK-A〕
䤔	〔氵車斤酉・IGEG・CJK-A〕
䤕	〔酉白幺木・GEVF・CJK-A〕
䤖	〔酉日龷水・GJSK・CJK-A〕
䤗	〔立早夂酉・IJEG・CJK-A〕
䤘	〔酉人人一・GTTF・CJK-A〕
䤙	〔酉{互中同母}豕虫・GBDK・CJK-A〕
䤚	〔月甲二・WKSe・CJK-A〕
䤛	〔金{丩同凵}・WXaj・CJK-A〕
䤜	〔金丿七・WQAi・CJK-A〕
䤝	〔金{卬左同卯}卩・WTXj・CJK-A〕
䤞	〔金尤・WDoj・CJK-A〕
䤟	〔金冖几・WYQj・CJK-A〕
䤠	〔金止・WNij・CJK-A〕
䤡	〔金冂土・WKHv・CJK-A〕
䤢	〔金口力・WLXl・CJK-A〕
䤣	〔金丿丷{于下}・WQUA・CJK-A〕
䤤	〔金亥・WOij・CJK-A〕
䤥	〔金冖厂{顺折同乙}・WYSV・CJK-A〕
䤦	〔金亻戈・WEGg・CJK-A〕
䤧	〔金囗口・WNLv・CJK-A〕
䤨	〔金{𠂆同斤}𧘇・WERy・CJK-A〕
䤩	〔金宀丿七・WOQA・CJK-A〕
䤪	〔金几木・WQFv・CJK-A〕
䤫	〔金山人{顺折同乙}・WJTV・CJK-A〕
䤬	〔金氵小丿・WIMQ・CJK-A〕
䤭	〔金乂{右上}巾・WWSM・CJK-A〕
䤮	〔金止小・WNMa・CJK-A〕
䤯	〔金一卄彡・WFST・CJK-A〕
䤰	〔土欠金・HEWj・CJK-A〕
䤱	〔金山斤・WJEj・CJK-A〕
䤲	〔金土{介下同八}八・WHTT・CJK-A〕
䤳	〔金亠亻丶・WOEO・CJK-A〕
䤴	〔金{顺折同乙}水凵・WVKX・CJK-A〕
䤵	〔金非・WLij・CJK-A〕
䤶	〔金大电・WGKd・CJK-A〕
䤷	〔金匚日女・WGJC・CJK-A〕
䤸	〔金{互中同母}豕・WBDs・CJK-A〕
䤹	〔金宀火又・WOUB・CJK-A〕
䤺	〔金石斤・WDEj・CJK-A〕
䤻	〔金{右上}工月・WSFW・CJK-A〕
䤼	〔金白水・WEKh・CJK-A〕
䤽	〔金罒水・WMKh・CJK-A〕
䤾	〔金爪臼・WERj・CJK-A〕
䤿	〔金丰刀手・WDBT・CJK-A〕
䥀	〔金{屮同凵}一虫・WXFK・CJK-A〕
䥁	〔金{マ同又}囗十・WBND・CJK-A〕
䥂	〔金冖一豕・WYFD・CJK-A〕
䥃	〔金冖隹・WYWi・CJK-A〕
䥄	〔金厂龷日・WSSJ・CJK-A〕
䥅	〔十王王金・DGGW・CJK-A〕
䥆	〔亠非金・OLWj・CJK-A〕
䥈	〔金艹犬卄・WSSS・CJK-A〕
䥉	〔金宀冖丶・WOYO・CJK-A〕
䥊	〔金龶貝・WHMb・CJK-A〕
䥋	〔金亠口灬・WOLU・CJK-A〕
䥌	〔宀日日金・OJJW・CJK-A〕
䥍	〔土䒑十金・HUDW・CJK-A〕
䥎	〔金辰月・WSWv・CJK-A〕
䥏	〔金彳{丿一同竹}卩・WRQX・CJK-A〕
䥐	〔矛夂力金・CEXW・CJK-A〕
䥑	〔金來夂・WDEh・CJK-A〕
䥒	〔弓口虫金・VLKW・CJK-A〕
䥓	〔金其土・WDHv・CJK-A〕
䥔	〔金覀米・WDPm・CJK-A〕
䥕	〔金丷巾夂・WUME・CJK-A〕
䥖	〔金丷酉大・WUGG・CJK-A〕
䥗	〔金士示欠・WHHE・CJK-A〕
䥘	〔金人人日・WTTJ・CJK-A〕
䥙	〔金阝䒑豕・WCUD・CJK-A〕
䥚	〔几目目金・QMMW・CJK-A〕
䥛	〔金丰刀糸・WDBB・CJK-A〕
䥜	〔金門木・WKFv・CJK-A〕
䥝	〔金鹿匕・WIRi・CJK-A〕
䥞	〔金白方夂・WEOE・CJK-A〕
