char,division,code,region
㻬,王雨一丂,GDFS,CJK-A
㻭,王亠幺十,GOCD,CJK-A
㻮,王月示,GWHs,CJK-A
㻯,王虎丿{于下},GMQA,CJK-A
㻰,王丰丰彐,GDDX,CJK-A
㻱,王夂丰辶,GEDP,CJK-A
㻲,王口十女,GLDC,CJK-A
㻳,王艹禾刂,GSRM,CJK-A
㻴,王日罒又,GJMB,CJK-A
㻵,王尸子子,GBBB,CJK-A
㻶,王竹彐扌,GQXA,CJK-A
㻷,王木冂冂,GFKK,CJK-A
㻸,王匚儿日,GGQJ,CJK-A
㻹,石豕王丶,DDGO,CJK-A
㻺,厂禾禾丶,SRRO,CJK-A
㻻,王亠口夂,GOLE,CJK-A
㻼,王西早,GDJo,CJK-A
㻽,王隹冂,GWKg,CJK-A
㻾,亠纟丿丶,OVQO,CJK-A
㻿,王罒月虫,GMWK,CJK-A
㼀,王土羊辶,GHUP,CJK-A
㼁,王丷土戈,GUHG,CJK-A
㼂,臼丂丨丶,RSMO,CJK-A
㼃,王巛囗{鼠下},GVNB,CJK-A
㼄,王幺幺田,GCCJ,CJK-A
㼅,王广艹八,GUST,CJK-A
㼆,王火火丶,GUUO,CJK-A
㼇,王山隹冂,GJWK,CJK-A
㼈,王罒糸隹,GMBW,CJK-A
㼉,瓜冖儿,QYQr,CJK-A
㼊,七屮瓜,AXQu,CJK-A
㼋,古瓜,DQug,CJK-A
㼌,瓜瓜,QQuu,CJK-A
㼍,一未瓜,FHQu,CJK-A
㼎,瓜亠八乂,QOTW,CJK-A
㼏,爪女瓜,ECQu,CJK-A
㼐,户冊瓜,ONQu,CJK-A
㼑,木囗丷瓜,FNUQ,CJK-A
㼒,瓜日一彡,QJFT,CJK-A
㼓,瓜丷彐八,QUXT,CJK-A
㼔,日皿瓜,JMQu,CJK-A
㼕,尚田瓜,NJQu,CJK-A
㼖,瓜母豕虫,QBDK,CJK-A
㼗,丁瓦,AAwn,CJK-A
㼘,山瓦,JAwa,CJK-A
㼙,巾瓦,MAwj,CJK-A
㼚,亠几瓦,OQAw,CJK-A
㼛,一艹瓦,FSAw,CJK-A
㼜,冂大瓦,KGAw,CJK-A
㼝,夕乙瓦,RVAw,CJK-A
㼞,干丷瓦,HUAw,CJK-A
㼟,白瓦,EAwb,CJK-A
㼠,宀匕瓦,ORAw,CJK-A
㼡,丿未瓦,QHAw,CJK-A
㼢,匚丨口瓦,GMLA,CJK-A
㼣,石日瓦,DJAw,CJK-A
㼤,丰刀瓦,DBAw,CJK-A
㼥,土丂瓦,HSAw,CJK-A
㼦,工凡瓦,FQAw,CJK-A
㼧,又用瓦,BTAw,CJK-A
㼨,人丶乙瓦,TOVA,CJK-A
㼩,戊乙瓦,DVAw,CJK-A
㼪,大人人瓦,GTTA,CJK-A
㼫,日木瓦,JFAw,CJK-A
㼬,土丷十瓦,HUDA,CJK-A
㼭,土卜口瓦,HMLA,CJK-A
㼮,十彐女瓦,DXCA,CJK-A
㼯,木日瓦,FJAw,CJK-A
㼰,鬼十瓦,WDAw,CJK-A
㼱,丬匕冖瓦,URYA,CJK-A
㼲,而大瓦,SGAw,CJK-A
㼳,小丿目瓦,MQMA,CJK-A
㼴,禺瓦,KAwy,CJK-A
㼵,日一龰瓦,JFNA,CJK-A
㼶,人一月瓦,TFWA,CJK-A
㼷,山而瓦,JSAw,CJK-A
㼸,穴人口瓦,PTLA,CJK-A
㼹,艹亡儿瓦,SUQA,CJK-A
㼺,广又古瓦,UBDA,CJK-A
㼻,彳人人瓦,RTTA,CJK-A
㼼,西示瓦,DHAw,CJK-A
㼽,大乂乂瓦,GWWA,CJK-A
㼾,鹿瓦,IAwl,CJK-A
㼿,立甲二瓦,IKSA,CJK-A
㽀,丷酉大瓦,UGGA,CJK-A
㽁,厂禾禾瓦,SRRA,CJK-A
㽂,合羽瓦,YXAw,CJK-A
㽃,丿米田瓦,QPJA,CJK-A
㽄,其斤瓦,DEAw,CJK-A
㽅,又一口瓦,BFLA,CJK-A
㽆,尚田瓦,NJAw,CJK-A
㽇,臼乂乂瓦,RWWA,CJK-A
㽈,匕矢又瓦,RQBA,CJK-A
㽉,臣竹丶瓦,SQOA,CJK-A
㽊,言火火瓦,UUUA,CJK-A
㽋,言糸糸瓦,UBBA,CJK-A
㽌,雨卯田瓦,DTJA,CJK-A
㽍,艹二瓦,SSAw,CJK-A
㽎,其乚冖儿,DXYQ,CJK-A
㽏,氵合艹二,IYSS,CJK-A
㽐,艹二丷八,SSUT,CJK-A
㽑,艹二西早,SSDJ,CJK-A
㽒,田力生,JXWg,CJK-A
㽓,生生生,WWWg,CJK-A
㽔,〢丷豕生,NUDW,CJK-A
㽕,由乙乚,KVXi,CJK-A
㽖,田力,JXli,CJK-A
㽗,田人,JTei,CJK-A
㽘,田亠几,JOQj,CJK-A
㽙,田厶儿,JVQr,CJK-A
㽚,田牛,JWni,CJK-A
㽛,田月口,JWLv,CJK-A
㽜,夕乙田,RVJi,CJK-A
㽝,歹刂田,DMJi,CJK-A
㽞,口口田,LLJi,CJK-A
㽟,田爪寸,JEAc,CJK-A
㽠,田大人人,JGTT,CJK-A
㽡,田鬼十,JWDh,CJK-A
㽢,田大电,JGKd,CJK-A
㽣,田戈口一,JGLF,CJK-A
㽤,田月米,JWPm,CJK-A
㽥,田矛木,JXFv,CJK-A
㽦,火火冖田,UUYJ,CJK-A
㽧,田丷幺幺,JUCC,CJK-A
㽨,田羊工,JUFo,CJK-A
㽩,田厶厶彡,JVVT,CJK-A
㽪,田丷日日,JUJJ,CJK-A
㽫,亠纟丿田,OVQJ,CJK-A
㽬,一口田田,FLJJ,CJK-A
㽭,田雨而,JDSe,CJK-A
㽮,田田田生,JJJW,CJK-A
㽯,田山隹口,JJWL,CJK-A
㽰,月月乙龰,WWVN,CJK-A
㽱,疒屮,PXc,CJK-A
㽲,疒丂,PSo,CJK-A
㽳,疒一{于下},PFAu,CJK-A
㽴,疒𠂇丶,PSOd,CJK-A
㽵,疒土,PHv,CJK-A
㽶,疒己,PBj,CJK-A
㽷,疒水,PKh,CJK-A
㽸,疒冖儿,PYQr,CJK-A
㽹,疒斤又,PEBu,CJK-A
㽺,疒乃丶,PVOd,CJK-A
㽻,疒十又,PDBu,CJK-A
㽼,疒弓丨,PVMs,CJK-A
㽽,疒古,PDg,CJK-A
㽾,疒屮屮,PXXc,CJK-A
㽿,疒瓜,PQu,CJK-A
㾀,疒土厶,PHVv,CJK-A
㾁,疒木丶,PFOd,CJK-A
㾂,疒厶口,PVLv,CJK-A
㾃,疒宀匕,PORi,CJK-A
㾄,疒由,PKo,CJK-A
㾅,疒丿乚丿,PQXQ,CJK-A
㾆,疒冂土,PKHv,CJK-A
㾇,疒目,PMv,CJK-A
㾈,疒亻寸,PEAc,CJK-A
㾉,疒人丶又,PTOB,CJK-A
㾊,疒木冂,PFKg,CJK-A
㾋,疒亻木,PEFv,CJK-A
㾌,疒牛儿,PWQr,CJK-A
㾍,疒而,PSe,CJK-A
㾎,疒冂一,PKFi,CJK-A
㾏,疒土土,PHHv,CJK-A
㾐,疒歹刂,PDMd,CJK-A
㾑,疒合,PYe,CJK-A
㾒,疒女口,PCLv,CJK-A
㾓,疒口月,PLWv,CJK-A
㾔,疒口口,PLLv,CJK-A
㾕,疒辛,POx,CJK-A
㾖,疒甲二,PKSr,CJK-A
㾗,疒丶艮,POVn,CJK-A
㾘,疒一日乂,PFJW,CJK-A
㾙,疒乂𠂇巾,PWSM,CJK-A
㾚,疒止匕二,PNRS,CJK-A
㾛,疒彐冖又,PXYB,CJK-A
㾜,疒大人人,PGTT,CJK-A
㾝,疒車,PGj,CJK-A
㾞,疒酉,PGo,CJK-A
㾟,疒止小,PNMa,CJK-A
㾠,疒犭王,PRGv,CJK-A
㾡,疒土厶卩,PHVX,CJK-A
㾢,疒來,PDl,CJK-A
㾣,疒金,PRv,CJK-A
㾤,疒穴工,PPFo,CJK-A
㾥,疒上小又,PKMB,CJK-A
㾦,疒立口,PILv,CJK-A
㾧,疒日木,PJFv,CJK-A
㾨,疒大丁口,PGAL,CJK-A
㾩,疒千丬匕,PWUR,CJK-A
㾪,疒小丿目,PMQM,CJK-A
㾫,疒户冊,PONc,CJK-A
㾬,疒匕匕白,PRRE,CJK-A
㾭,疒禾火,PRUo,CJK-A
㾮,疒白王,PEGv,CJK-A
㾯,疒田匚,PJGf,CJK-A
㾰,疒古月,PDWv,CJK-A
㾱,疒又二儿,PBSQ,CJK-A
㾲,疒龶月夂,PHWE,CJK-A
㾳,疒二欠女,PSEC,CJK-A
㾴,疒木且,PFMq,CJK-A
㾵,疒言十,PUDh,CJK-A
㾶,疒骨,PMg,CJK-A
㾷,疒斤虎,PEMh,CJK-A
㾸,疒高,PPg,CJK-A
㾹,疒止匕木,PNRF,CJK-A
㾺,疒馬,PSm,CJK-A
㾻,疒阝人木,PCTF,CJK-A
㾼,疒艮辶,PVPo,CJK-A
㾽,疒𠂤辶,PYPo,CJK-A
㾾,疒丷彐八,PUXT,CJK-A
㾿,疒丶彐阝,POXC,CJK-A
㿀,疒王丷王,PGUG,CJK-A
㿁,疒白大十,PEGD,CJK-A
㿂,疒山王夂,PJGE,CJK-A
㿃,疒艹一巾,PSFM,CJK-A
㿄,疒匚矢殳,PGQQ,CJK-A
㿅,疒彳止龰,PRNN,CJK-A
㿆,疒禾亠𧘇,PROW,CJK-A
㿇,疒羽白,PXEb,CJK-A
㿈,疒纟丿隹,PVQW,CJK-A
㿉,疒口上貝,PLKM,CJK-A
㿊,疒匚儿日,PGQJ,CJK-A
㿋,疒口口木,PLLF,CJK-A
㿌,疒僉,PRn,CJK-A
㿍,疒冖用牛,PYTW,CJK-A
㿎,疒十艹貝,PDSM,CJK-A
㿏,疒彐丿羊,PXQU,CJK-A
㿐,疒走夕夕,PDRR,CJK-A
㿑,疒羽隹,PXWi,CJK-A
㿒,疒士乙寸,PHVA,CJK-A
㿓,疒大人足,PGTN,CJK-A
㿔,疒田田田,PJJJ,CJK-A
㿕,疒門冖臼,PKYR,CJK-A
㿖,疒虎田皿,PMJM,CJK-A
㿗,疒禾几貝,PRQM,CJK-A
㿘,疒火火口,PUUL,CJK-A
㿙,疒罒罒大,PMMG,CJK-A
㿚,疒罒糸隹,PMBW,CJK-A
㿛,疒一冂鹿,PFKI,CJK-A
㿜,疒自合冊,PTYN,CJK-A
㿝,白厶,EVvb,CJK-A
㿞,白毛,ERmb,CJK-A
㿟,白白,EEbb,CJK-A
㿠,白小兀,EMHw,CJK-A
㿡,白儿二二,EQSS,CJK-A
㿢,日月白,JWEb,CJK-A
㿣,白日月乚,EJWX,CJK-A
㿤,白𡗗日,EGJv,CJK-A
㿥,白冖隹,EYWi,CJK-A
㿦,士尸殳白,HBQE,CJK-A
㿧,白士乙寸,EHVA,CJK-A
㿨,白厂禾止,ESRN,CJK-A
㿩,白尚黑,ENNe,CJK-A
㿪,皮九丶,VYOd,CJK-A
㿫,匕匕皮,RRVp,CJK-A
㿬,皮巴,VCap,CJK-A
㿭,斤丶皮,EOVp,CJK-A
㿮,冂大皮,KGVp,CJK-A
㿯,合皮,YVpe,CJK-A
㿰,亠八乂皮,OTWV,CJK-A
㿱,扌斤皮,AEVp,CJK-A
㿲,大丁口皮,GALV,CJK-A
㿳,皮巛田,VVJi,CJK-A
㿴,大耳皮,GAVp,CJK-A
㿵,皮而大,VSGd,CJK-A
㿶,亠丷冖皮,OUYV,CJK-A
㿷,羊工皮,UFVp,CJK-A
㿸,皮日罒又,VJMB,CJK-A
㿹,皮土羊辶,VHUP,CJK-A
㿺,日艹八皮,JSTV,CJK-A
㿻,干皿,HMng,CJK-A
㿼,一艹皿,FSMn,CJK-A
㿽,八丂皿,TSMn,CJK-A
㿾,宀丁皿,OAMn,CJK-A
㿿,乙龰皿,VNMn,CJK-A
䀀,氵乙皿,IVMn,CJK-A
䀁,𠂇月皿,SWMn,CJK-A
䀂,宀女皿,OCMn,CJK-A
䀃,豕皿,DMns,CJK-A
䀄,宀心丿皿,OYQM,CJK-A
䀅,礻土皿,UHMn,CJK-A
䀆,彐上火皿,XKUM,CJK-A
䀇,古缶皿,DWMn,CJK-A
䀈,彐厶匚皿,XVGM,CJK-A
䀉,夭口冂皿,ELKM,CJK-A
䀊,氵羽人皿,IXTM,CJK-A
䀋,土竹鹵皿,HQKM,CJK-A
䀌,彐扌石皿,XADM,CJK-A
䀍,立早夂皿,IJEM,CJK-A
䀎,目丂,MSo,CJK-A
䀏,月目,WMv,CJK-A
䀐,目彡,MTi,CJK-A
䀑,目又丶,MBOd,CJK-A
䀒,目千,MWq,CJK-A
䀓,目九丶,MYOd,CJK-A
䀔,目刀丶,MBOd,CJK-A
䀕,目弓丨,MVMs,CJK-A
䀖,目一大,MFGd,CJK-A
䀗,目乙大,MVGd,CJK-A
䀘,目一艹,MFSv,CJK-A
䀙,目七刀,MABa,CJK-A
䀚,目卯卩,MTXj,CJK-A
䀛,目月彡,MWTi,CJK-A
䀜,月彡目,WTMv,CJK-A
䀝,目匕匕,MRRi,CJK-A
䀞,目二十,MSDh,CJK-A
䀟,目弓八,MVTb,CJK-A
䀠,目目,MMv,CJK-A
䀡,目卜口,MMLv,CJK-A
䀢,目矢,MQi,CJK-A
䀣,目心丿,MYQp,CJK-A
䀤,夕卜目,RMMv,CJK-A
䀥,目卯小,MTMa,CJK-A
䀦,目古,MDg,CJK-A
䀧,目艹八,MSTb,CJK-A
䀨,目舌,MRe,CJK-A
䀩,目夂口,MELv,CJK-A
䀪,目彳亍,MRAh,CJK-A
䀫,目合,MYe,CJK-A
䀬,目人王,MTGv,CJK-A
䀭,目亥,MOi,CJK-A
䀮,目亡儿,MUQr,CJK-A
䀯,目甫,MFu,CJK-A
䀰,目八人口,MTTL,CJK-A
䀱,目夂丰,MEDn,CJK-A
䀲,目竹母,MQBm,CJK-A
䀳,目木口,MFLv,CJK-A
䀴,目一巛工,MFVF,CJK-A
䀵,目厶矢,MVQi,CJK-A
䀶,目丶艮,MOVn,CJK-A
䀷,目土厶力,MHVX,CJK-A
䀸,扌斤目,AEMv,CJK-A
䀹,目大人人,MGTT,CJK-A
䀺,亻丨夂目,EMEM,CJK-A
䀻,目由丂,MKSo,CJK-A
䀼,目辰,MSn,CJK-A
䀽,目丿止廴,MQNX,CJK-A
䀾,石又目,DBMv,CJK-A
䀿,目扌斤,MAEi,CJK-A
䁀,目扌斤,MAEi,CJK-A
䁁,目亠口小,MOLM,CJK-A
䁂,臣又目,SBMv,CJK-A
䁃,目龶𧘇,MHWy,CJK-A
䁄,目土丷十,MHUD,CJK-A
䁅,目子皿,MBMn,CJK-A
䁆,目大电,MGKd,CJK-A
䁇,宀心丿目,OYQM,CJK-A
䁈,户夂目,OEMv,CJK-A
䁉,户戈目,OGMv,CJK-A
䁊,目又丶目,MBOM,CJK-A
䁋,目世木,MHFv,CJK-A
䁌,目田月,MJWv,CJK-A
䁍,目戊一口,MDFL,CJK-A
䁎,目高丁,MPAn,CJK-A
䁏,目西女,MDCv,CJK-A
䁐,目艹冂大,MSKG,CJK-A
䁑,目日一彡,MJFT,CJK-A
䁒,目口耳,MLAr,CJK-A
䁓,目乂屮夂,MWXE,CJK-A
䁔,目爪二夂,MESE,CJK-A
䁕,目巳七日,MXAJ,CJK-A
䁗,目山一丷,MJFU,CJK-A
䁘,目爪缶,MEWo,CJK-A
䁙,目日宀女,MJOC,CJK-A
䁚,目口貝,MLMi,CJK-A
䁛,目鬼,MWu,CJK-A
䁜,目日小兀,MJMH,CJK-A
䁝,火火冖目,UUYM,CJK-A
䁞,人人人目,TTTM,CJK-A
䁟,目羊工,MUFo,CJK-A
䁠,目丷彐八,MUXT,CJK-A
䁡,目門人,MKTe,CJK-A
䁢,目方竹龰,MOQN,CJK-A
䁣,目車寸,MGAc,CJK-A
䁤,目亠丷古,MOUD,CJK-A
䁥,目匚艹口,MGSL,CJK-A
䁦,目虎且,MMMq,CJK-A
䁧,目艹一夫,MSFG,CJK-A
䁨,目亠口阝,MOLC,CJK-A
䁩,目魚,MTy,CJK-A
䁪,目車斤,MGEi,CJK-A
䁫,目黑,MNe,CJK-A
䁬,目丷日日,MUJJ,CJK-A
䁭,目犬犬犬,MSSS,CJK-A
䁮,目匚儿日,MGQJ,CJK-A
䁯,目合羽,MYXu,CJK-A
䁰,目工石貝,MFDM,CJK-A
䁱,目土土兀,MHHH,CJK-A
䁲,目罒貝,MMMi,CJK-A
䁳,目艹犬艹,MSSS,CJK-A
䁴,目亠囗一,MONF,CJK-A
䁵,目罒一𧘇,MMFW,CJK-A
䁶,目白方夂,MEOE,CJK-A
䁷,臼乂乂目,RWWM,CJK-A
䁸,目冂艹辰,MKSS,CJK-A
䁹,目尸口辛,MBLO,CJK-A
䁺,目罒土十,MMHD,CJK-A
䁻,目白幺木,MECF,CJK-A
䁼,目黑土,MNHv,CJK-A
䁽,目巛囗{鼠下},MVNB,CJK-A
䁾,目艹罒丶,MSMO,CJK-A
䁿,黑犬目,NSMv,CJK-A
䂀,目丷土戈,MUHG,CJK-A
䂁,目冖口丶,MYLO,CJK-A
䂂,目目目隹,MMMW,CJK-A
䂃,目爪罒寸,MEMA,CJK-A
䂄,目目目又,MMMB,CJK-A
䂅,目言糸虫,MUBK,CJK-A
䂆,矛月丶,XWOd,CJK-A
䂇,矛又十,XBDh,CJK-A
䂈,矛虫,XKvo,CJK-A
䂉,矛亻又矢,XEBQ,CJK-A
䂊,矛冖口豕,XYLD,CJK-A
䂋,古扌矛木,DAXF,CJK-A
䂌,矛立甲二,XIKS,CJK-A
䂍,矛日艹水,XJSK,CJK-A
䂎,矛牛儿貝,XWQM,CJK-A
䂏,矢刀口,QBLv,CJK-A
䂐,矢屮屮,QXXc,CJK-A
䂑,矢止匕,QNRi,CJK-A
䂒,矢士口,QHLv,CJK-A
䂓,矢見,QMki,CJK-A
䂔,矢土丷十,QHUD,CJK-A
䂕,矢母豕,QBDs,CJK-A
䂖,石丶,DOd,CJK-A
䂗,石匕,DRi,CJK-A
䂘,石又丶,DBOd,CJK-A
䂙,石阝,DCf,CJK-A
䂚,石乂乂,DWWa,CJK-A
䂛,石予,DCu,CJK-A
䂜,石丰,DDn,CJK-A
䂝,石戈,DGg,CJK-A
䂞,石木,DFv,CJK-A
䂟,力口石,XLDv,CJK-A
䂠,石矢,DQi,CJK-A
䂡,石亻工,DEFo,CJK-A
䂢,石夂二,DESr,CJK-A
䂣,石止匕,DNRi,CJK-A
䂤,石亻寸,DEAc,CJK-A
䂥,石巳七,DXAi,CJK-A
䂦,石人彡,DTTi,CJK-A
䂧,石冖小,DYMa,CJK-A
䂨,石斤丶,DEOd,CJK-A
䂩,石囗大,DNGd,CJK-A
䂪,石儿二二,DQSS,CJK-A
䂫,石夂扌,DEAv,CJK-A
䂬,工凡石,FQDv,CJK-A
䂭,石亠八乂,DOTW,CJK-A
䂮,丰刀石,DBDv,CJK-A
䂯,石广土,DUHv,CJK-A
䂰,石禾刂,DRMd,CJK-A
䂱,石丷口儿,DULQ,CJK-A
䂲,土厶力石,HVXD,CJK-A
䂳,石人人土,DTTH,CJK-A
䂴,石言,DUv,CJK-A
䂵,石工贝,DFKb,CJK-A
䂶,石土厶力,DHVX,CJK-A
䂷,石千丬匕,DWUR,CJK-A
䂸,石戈口一,DGLF,CJK-A
䂹,石月火,DWUo,CJK-A
䂺,石日木,DJFv,CJK-A
䂻,石長,DHa,CJK-A
䂼,石人丶心,DTOY,CJK-A
䂽,石卜早,DMJo,CJK-A
䂾,石來,DDl,CJK-A
䂿,石水日,DKJv,CJK-A
䃀,石十彐女,DDXC,CJK-A
䃁,石一{亞下},DFLa,CJK-A
䃂,石日匕匕,DJRR,CJK-A
䃃,石冂丷亡,DKUU,CJK-A
䃄,石亠口小,DOLM,CJK-A
䃅,石丷日十,DUJD,CJK-A
䃆,石其,DDq,CJK-A
䃇,石白巾,DEMj,CJK-A
䃈,石匕匕白,DRRE,CJK-A
䃉,石巳七日,DXAJ,CJK-A
䃊,石艹且,DSMq,CJK-A
䃋,石人一刂,DTFM,CJK-A
䃌,石西土,DDHv,CJK-A
䃍,石丷豕,DUDs,CJK-A
䃎,石大夕夕,DGRR,CJK-A
䃏,石日生,DJWg,CJK-A
䃐,石穴犬,DPSa,CJK-A
䃑,石舟殳,DQQh,CJK-A
䃒,石一口丨,DFLM,CJK-A
䃓,石艹冂土,DSKH,CJK-A
䃔,石宀口口,DOLL,CJK-A
䃕,火火冖石,UUYD,CJK-A
䃖,石烏,DYw,CJK-A
䃗,石彐水刂,DXKM,CJK-A
䃘,石臣又土,DSBH,CJK-A
䃙,石鹿,DIl,CJK-A
䃚,石方竹矢,DOQQ,CJK-A
䃛,石車辶,DGPo,CJK-A
䃜,匚矢殳石,GQQD,CJK-A
䃝,石土子夂,DHBE,CJK-A
䃞,亠口子石,OLBD,CJK-A
䃟,石艹月夂,DSWE,CJK-A
䃠,石方竹龰,DOQN,CJK-A
䃡,石匚儿日,DGQJ,CJK-A
䃢,石金欠,DREq,CJK-A
䃣,石爪{爲下},DEYw,CJK-A
䃤,石彐十爿,DXDX,CJK-A
䃥,石立甲二,DIKS,CJK-A
䃦,亠口子石,OLBD,CJK-A
䃧,阝夂一石,CEFD,CJK-A
䃨,石弓口虫,DVLK,CJK-A
䃩,石冂艹辰,DKSS,CJK-A
䃪,石亠囗一,DONF,CJK-A
䃫,石冖厂言,DYSU,CJK-A
䃬,石山鬼,DJWu,CJK-A
䃭,石戊一心,DDFY,CJK-A
䃮,石土羊辶,DHUP,CJK-A
䃯,石白二木,DESF,CJK-A
䃰,石宀月示,DOWH,CJK-A
䃱,石十戈一,DDGF,CJK-A
䃲,石舟殳皿,DQQM,CJK-A
䃳,石巛囗{鼠下},DVNB,CJK-A
䃴,石言土日,DUHJ,CJK-A
䃵,石亠馬𧘇,DOSW,CJK-A
䃶,石亠罒𧘇,DOMW,CJK-A
䃷,石亡女,DUCv,CJK-A
䃸,石人人一,DTTF,CJK-A
䃹,石門木丷,DKFU,CJK-A
䃺,石麻非,DPLi,CJK-A
䃻,石雨革月,DDGW,CJK-A
䃼,礻卜,UMos,CJK-A
䃽,礻十又,UDBu,CJK-A
䃾,礻匕匕,URRi,CJK-A
䃿,礻夫,UGus,CJK-A
䄀,礻戈,UGgs,CJK-A
䄁,礻世,UHis,CJK-A
䄂,礻由,UKos,CJK-A
䄃,礻冂大,UKGd,CJK-A
䄄,礻囗大,UNGd,CJK-A
䄅,丷夫示,UGHs,CJK-A
䄆,礻舌,URes,CJK-A
䄇,礻口王,ULGv,CJK-A
䄈,礻一口丷,UFLU,CJK-A
䄉,礻丿扌戈,UQAG,CJK-A
䄊,礻士心,UHYv,CJK-A
䄋,礻大电,UGKd,CJK-A
䄌,礻又又又,UBBB,CJK-A
䄍,礻艹日,USJv,CJK-A
䄎,礻大丁口,UGAL,CJK-A
䄏,礻艹夭,USEo,CJK-A
䄐,屮屮示巳,XXHX,CJK-A
䄑,礻卯七日,UTAJ,CJK-A
䄒,礻人丶心,UTOY,CJK-A
䄓,礻白王,UEGv,CJK-A
䄔,礻丿虫冂,UQKK,CJK-A
䄕,礻水田,UKJi,CJK-A
䄖,礻人一刂,UTFM,CJK-A
䄗,礻片爿一,UTXF,CJK-A
䄘,礻亠丷方,UOUO,CJK-A
䄙,礻冖日八,UYJT,CJK-A
䄚,礻艹日日,USJJ,CJK-A
䄛,礻口十女,ULDC,CJK-A
䄜,礻文屮厶,UPXV,CJK-A
䄝,礻𡗗臼,UGRj,CJK-A
䄞,礻月示,UWHs,CJK-A
䄟,毛毛毛示,RRRH,CJK-A
䄠,礻亠囗一,UONF,CJK-A
䄡,礻冖厂言,UYSU,CJK-A
䄢,礻亠丷二,UOUS,CJK-A
䄣,礻士罒貝,UHMM,CJK-A
䄤,礻木口貝,UFLM,CJK-A
䄥,礻雨口人,UDLT,CJK-A
䄦,禾了,RVlh,CJK-A
䄧,禾乃,RVah,CJK-A
䄨,禾一{于下},RFAu,CJK-A
䄩,禾弋,RGyh,CJK-A
䄪,禾月丶,RWOd,CJK-A
䄫,禾己,RBjh,CJK-A
䄬,禾也,RCyh,CJK-A
䄭,禾千,RWqh,CJK-A
䄮,禾夫,RGuh,CJK-A
䄯,禾一艹,RFSv,CJK-A
䄰,禾牙,RHyh,CJK-A
䄱,禾方,ROgh,CJK-A
䄲,禾冂人,RKTe,CJK-A
䄳,禾止,RNih,CJK-A
䄴,禾月,RWvh,CJK-A
䄵,禾扌,RAvh,CJK-A
䄶,禾弓八,RVTb,CJK-A
䄷,禾石,RDvh,CJK-A
䄸,禾白,REbh,CJK-A
䄹,禾人千,RTWq,CJK-A
䄺,禾大弓,RGVo,CJK-A
䄻,禾儿二二,RQSS,CJK-A
䄼,禾一囗人,RFNT,CJK-A
䄽,禾西,RDih,CJK-A
䄾,禾戈𠂇,RGSu,CJK-A
䄿,禾电丿,RKQp,CJK-A
䅀,禾歹刂,RDMd,CJK-A
䅁,宀女禾,OCRh,CJK-A
䅂,禾夂口,RELv,CJK-A
䅃,工凡禾,FQRh,CJK-A
䅄,禾力力力,RXXX,CJK-A
䅅,禾土土,RHHv,CJK-A
䅆,禾二欠,RSEq,CJK-A
䅇,西禾,DRhi,CJK-A
䅈,丷夫禾,UGRh,CJK-A
䅉,禾丌丷,RAUa,CJK-A
䅊,禾广丿七,RUQA,CJK-A
䅋,禾冖口儿,RYLQ,CJK-A
䅌,禾口月,RLWv,CJK-A
䅍,禾壬廴,REXn,CJK-A
䅎,禾禾乃,RRVa,CJK-A
䅏,禾尸毛,RBRm,CJK-A
䅐,禾見,RMkh,CJK-A
䅑,禾爪女,RECv,CJK-A
䅒,禾艹亡,RSUw,CJK-A
䅓,禾月口又,RWLB,CJK-A
䅔,禾巛田,RVJi,CJK-A
䅕,禾尸古,RBDg,CJK-A
䅖,禾大电,RGKd,CJK-A
䅗,禾禾女,RRCv,CJK-A
䅘,禾來,RDlh,CJK-A
䅙,禾日匕匕,RJRR,CJK-A
䅚,禾丷夫乙,RUGV,CJK-A
䅛,禾日日,RJJv,CJK-A
䅜,禾壬艹,RESv,CJK-A
䅝,禾穴工,RPFo,CJK-A
䅞,禾日一寸,RJFA,CJK-A
䅠,禾日一龰,RJFN,CJK-A
䅡,禾石貝,RDMi,CJK-A
䅢,禾由月,RKWv,CJK-A
䅣,禾白王,REGv,CJK-A
䅤,禾千臼,RWRj,CJK-A
䅥,禾日月乚,RJWX,CJK-A
䅦,禾艹田,RSJi,CJK-A
䅧,禾立日,RIJv,CJK-A
䅨,禾禾日,RRJv,CJK-A
䅩,禾十又八,RDBT,CJK-A
䅪,禾口上贝,RLKK,CJK-A
䅫,禾亠日小,ROJM,CJK-A
䅬,禾丷八皿,RUTM,CJK-A
䅭,禾亠丷方,ROUO,CJK-A
䅮,禾人丶口,RTOL,CJK-A
䅯,禾广又古,RUBD,CJK-A
䅰,禾囗大心,RNGY,CJK-A
䅱,禾山一丷,RJFU,CJK-A
䅲,禾土匕日,RHRJ,CJK-A
䅳,禾月屮屮,RWXX,CJK-A
䅴,禾十冖糸,RDYB,CJK-A
䅵,禾丷土灬,RUHU,CJK-A
䅶,禾辰寸,RSAc,CJK-A
䅷,禾艹人木,RSTF,CJK-A
䅸,禾艹辛,RSOx,CJK-A
䅹,禾口十女,RLDC,CJK-A
䅺,禾西示,RDHs,CJK-A
䅻,禾文屮厶,RPXV,CJK-A
䅼,禾日罒又,RJMB,CJK-A
䅽,士尸殳禾,HBQR,CJK-A
䅾,禾匚儿日,RGQJ,CJK-A
䅿,禾艹干艹,RSHS,CJK-A
䆀,禾黑,RNeh,CJK-A
䆁,禾罒土十,RMHD,CJK-A
䆂,禾广丷八,RUUT,CJK-A
